Track Title,Artist,ISRC,Release Date,MLC Status,BMI Status,Copyright Status,Total Streams,Total Earnings USD,Spotify URL,Internal Notes
Mic Check,Hawk Eye The Rapper,QZFZ42008674,2020-03-01,Unregistered,Registered,Unfiled,12,0.50868068,https://open.spotify.com/track/4Z91VPiof1rJVlbxk2zNe1,Imported from EverLight merge
When My Elites Surround,Hawk Eye The Rapper,QZK6L2223963,2022-02-22,Unregistered,Registered,Unfiled,5,0.08084799000000001,https://open.spotify.com/track/5rbzER4gvrYXlJTBpzg1MA,Imported from EverLight merge
Legion,Hawk Eye The Rapper,QZK6L2223962,2022-02-22,Unregistered,Registered,Unfiled,7,0.16937377,https://open.spotify.com/track/7M43AIhuEESjAEAv4X8NKq,Imported from EverLight merge
The Antidote,Hawk Eye The Rapper,QZK6L2223959,2022-02-22,Unregistered,Registered,Unfiled,3,0.19247430999999998,https://open.spotify.com/track/6f9ElElKMQD6zInF0ccJrn,Imported from EverLight merge
Fema,Hawk Eye The Rapper,QZK6L2223958,2022-02-22,Unregistered,Registered,Unfiled,4,0.22896979,https://open.spotify.com/track/1bd4daLGkBoep22WBxUrVR,Imported from EverLight merge
Delta Squad,Hawk Eye The Rapper,QZK6L2223956,2022-02-22,Unregistered,Registered,Unfiled,2,0.12174844,https://open.spotify.com/track/5FbFCro8iXeNvOso1E58uI,Imported from EverLight merge
Eyes Wide Open,Hawk Eye The Rapper,QZK6L2223955,2022-02-22,Unregistered,Registered,Unfiled,7,0.29239295,https://open.spotify.com/track/2d4ZezeniD0pTNzpYDmFiq,Imported from EverLight merge
Abreactions,Hawk Eye The Rapper,QZK6L2223954,2022-02-22,Unregistered,Registered,Unfiled,7,0.32067311,https://open.spotify.com/track/5j4OWikBgUQ9jZ8B0xxdQQ,Imported from EverLight merge
The Story Of Our Former Glory,Hawk Eye The Rapper,QZK6N2262197,2020-03-01,Unregistered,Registered,Unfiled,39,0.02426614,https://open.spotify.com/track/1KZa1WpuS56WK3cVNsra6A,Imported from EverLight merge
Stay Real,Hawk Eye The Rapper,QZK6N2262196,2020-03-01,Unregistered,Registered,Unfiled,27,0.03195384,https://open.spotify.com/track/5N1bcN2njJMmk802mkhkhc,Imported from EverLight merge
Haunted,Hawk Eye The Rapper,QZK6N2262191,2020-03-01,Unregistered,Registered,Unfiled,99,0.0696741,https://open.spotify.com/track/2hG22U1xKonxNydtq3JEef,Imported from EverLight merge
Shakur (Feat. Zenith The Queen),Hawk Eye The Rapper,QZK6N2262185,2020-03-01,Unregistered,Registered,Unfiled,5,0.05912176,https://open.spotify.com/track/3yeWNjSJSpk5CIjcO32BXq,Imported from EverLight merge
Swordfish,Hawk Eye The Rapper,QZK6N2262183,2020-03-01,Unregistered,Registered,Unfiled,25,0.19159958,https://open.spotify.com/track/4woC99jeKXmh0Ep5JczdKM,Imported from EverLight merge
When My Elites Surround,Hawk Eye The Rapper,QZFZ22212090,,Unregistered,Registered,Unfiled,,0.02363673,,Imported from EverLight merge
The Antidote,Hawk Eye The Rapper,QZFZ22212086,,Unregistered,Registered,Unfiled,,0.027066390000000003,,Imported from EverLight merge
Illuminati,Hawk Eye The Rapper,QZFZ22212084,,Unregistered,Registered,Unfiled,,0.052184060000000004,,Imported from EverLight merge
Delta Squad,Hawk Eye The Rapper,QZFZ22212082,,Unregistered,Registered,Unfiled,,0.04014216,,Imported from EverLight merge
Abreactions,Hawk Eye The Rapper,QZFZ22212080,,Unregistered,Registered,Unfiled,,0.038087010000000004,,Imported from EverLight merge
Incantations,Hawk Eye The Rapper,QZFZ42192650,2021-03-01,Unregistered,Registered,Unfiled,8960,11.4658944,https://open.spotify.com/track/7izCBXtpTqE0xoo1FFEVI6,Imported from EverLight merge
The Shadow Is Rising,Hawk Eye The Rapper,QZDA62424853,2024-03-01,Unregistered,Registered,Unfiled,0,0.14371146,https://open.spotify.com/track/4jyKGtYlwxKbfTreJIIYAj,Imported from EverLight merge
The Devil'S In The Details,Hawk Eye The Rapper,QZWFN2366283,2023-12-17,Unregistered,Registered,Unfiled,41,0.45249882,https://open.spotify.com/track/4qLWIorju7kf1KqIYiLmSK,Imported from EverLight merge
Domestic Terrorist,Hawk Eye The Rapper,QZDA62424848,2024-03-01,Unregistered,Registered,Unfiled,8,0.1243434,https://open.spotify.com/track/1SNxLoFcHnMD8pPn29rGYO,Imported from EverLight merge
Down The Rabbit Hole,Hawk Eye The Rapper,QZDA62424847,2024-03-01,Unregistered,Registered,Unfiled,1013,0.16978085,https://open.spotify.com/track/6mGVIMtzuvVZgAhv8bgeQX,Imported from EverLight merge
Invokation,Hawk Eye The Rapper,QZDA62424856,2024-03-01,Unregistered,Registered,Unfiled,0,0.049904250000000004,https://open.spotify.com/track/2sJciHjwwkvHXT7F4JtgFx,Imported from EverLight merge
Will You Listen?,Hawk Eye,,,Unregistered,Registered,Unfiled,,,,Imported from EverLight merge
Soft Disclosure,Hawk Eye The Rapper,OZFZ22212079,2022-02-22,Unregistered,Registered,Unfiled,5,0.1364844,https://open.spotify.com/track/6pBLnpC8x0kovPKCuP4dva,Imported from EverLight merge
Abreactions,Hawk Eye The Rapper,OZFZ22212080,2022-02-22,Unregistered,Registered,Unfiled,7,0.05396438,https://open.spotify.com/track/4X0wt71VZ7xjbCjk1gXVkq,Imported from EverLight merge
Eyes Wide Open,Hawk Eye The Rapper,OZFZ22212081,2022-02-22,Unregistered,Registered,Unfiled,7,0.04659014,https://open.spotify.com/track/0of19k6Zwf14idMGWecZC7,Imported from EverLight merge
Delta Squad,Hawk Eye The Rapper,OZFZ22212082,2022-02-22,Unregistered,Registered,Unfiled,2,0.04041149,https://open.spotify.com/track/6poqzqhEoHDdz1OtWy5iMG,Imported from EverLight merge
Implants,Hawk Eye The Rapper,OZFZ22212083,2022-02-22,Unregistered,Registered,Unfiled,3,0.0539689,https://open.spotify.com/track/7sa5oqIJKQ4rZiu9t4GxoG,Imported from EverLight merge
