Date Inserted	Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld (USD)	Earnings (USD)	Recoup (USD)
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Superstitions	QZHN92001334	197044444430	5	100	Song	US	0	0.00004038	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Whistle Blower	QZHN92001333	197044444430	2	100	Song	US	0	0.00001575	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Kamikaze	QZHN92001332	197044444430	2	100	Song	US	0	0.00001575	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Behold A Pale Horse	QZHN92001331	197044444430	3	100	Song	US	0	0.00050859	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Warning Shots	QZHN92001330	197044444430	4	100	Song	US	0	0.00051834	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Reincarnated 2 Resist	QZFZ22212091	196697765183	2	100	Song	US	0	0.00049885	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	When My Elites Surround	QZFZ22212090	196697765183	3	100	Song	US	0	0.00050859	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Legion	QZFZ22212089	196697765183	7	100	Song	US	0	0.00054009	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Artificial Intelligence	QZFZ22212088	196697765183	2	100	Song	US	0	0.00049885	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Avalanche	QZFZ22212087	196697765183	6	100	Song	US	0	0.00052949	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	The Antidote	QZFZ22212086	196697765183	3	100	Song	US	0	0.00050629	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	FEMA	QZFZ22212085	196697765183	9	100	Song	US	0	0.00056015	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Illuminati	QZFZ22212084	196697765183	3	100	Song	US	0	0.00050859	0.00000000
